action,observation.state,timestamp,frame_index,episode_index,index,task_index
"[ 1.90737774e-04  1.04695964e+00  5.22812247e-01  6.20088518e-01
  5.72213321e-04  5.72213321e-04 -6.59488142e-05 -5.72213321e-04
  1.04657817e+00  5.22812247e-01  6.19707048e-01 -9.53688868e-04
 -5.72213321e-04 -1.50203705e-05  0.00000000e+00 -0.00000000e+00]","[-1.9073777e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1589229e-01  9.5368887e-04
 -5.7221332e-04  1.4934689e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.4,20,0,20,0
"[ 1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.9286674e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.1970705e-01 -9.5368887e-04
 -5.7221332e-04 -3.1709671e-05  0.0000000e+00 -0.0000000e+00]","[-1.9073777e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1551082e-01  9.5368887e-04
 -9.5368887e-04  1.8272549e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.42,21,0,21,0
"[ 1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.2610954e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.1970705e-01 -9.5368887e-04
 -5.7221332e-04  1.6689301e-06  0.0000000e+00 -0.0000000e+00]","[ 5.7221332e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1551082e-01  9.5368887e-04
 -9.5368887e-04  8.2589686e-06  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.44,22,0,22,0
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.9286674e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.1970705e-01 -9.5368887e-04
 -5.7221332e-04 -1.1682510e-05  0.0000000e+00 -0.0000000e+00]","[ 5.7221332e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1551082e-01  9.5368887e-04
 -9.5368887e-04  1.1596829e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.46,23,0,23,0
"[ 1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.5948814e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.1932558e-01 -9.5368887e-04
 -5.7221332e-04 -2.8371811e-05  0.0000000e+00 -0.0000000e+00]","[-9.5368887e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1551082e-01  9.5368887e-04
 -9.5368887e-04  1.4934689e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.48,24,0,24,0
"[ 1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.9286674e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.1932558e-01 -9.5368887e-04
 -5.7221332e-04 -8.3446503e-06  0.0000000e+00 -0.0000000e+00]","[-9.5368887e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03 -1.7546117e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1551082e-01  9.5368887e-04
 -9.5368887e-04  1.1596829e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.5,25,0,25,0
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.5948814e-05 -9.5368887e-04
  1.0465782e+00  5.2281225e-01  6.1932558e-01 -9.5368887e-04
 -5.7221332e-04 -1.1682510e-05  0.0000000e+00 -0.0000000e+00]","[-5.7221332e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03 -1.7546117e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1551082e-01  9.5368887e-04
 -5.7221332e-04  1.1596829e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.52,26,0,26,0
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.5948814e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.1932558e-01 -9.5368887e-04
 -5.7221332e-04 -3.5047531e-05  0.0000000e+00 -0.0000000e+00]","[-5.7221332e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03 -1.7546117e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1551082e-01  9.5368887e-04
 -9.5368887e-04  1.8272549e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.54,27,0,27,0
"[ 1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.9286674e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.1932558e-01 -9.5368887e-04
 -5.7221332e-04 -2.1696091e-05  0.0000000e+00 -0.0000000e+00]","[-9.5368887e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1551082e-01  9.5368887e-04
 -9.5368887e-04  1.4934689e-05  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.56,28,0,28,0
"[-1.9073777e-04  1.0469596e+00  5.2281225e-01  6.2008852e-01
  5.7221332e-04  5.7221332e-04 -6.9286674e-05 -5.7221332e-04
  1.0465782e+00  5.2281225e-01  6.1932558e-01 -9.5368887e-04
 -5.7221332e-04  1.6689301e-06  0.0000000e+00 -0.0000000e+00]","[-1.9073777e-04  1.0469596e+00  5.2166784e-01  6.1741817e-01
 -1.7166400e-03 -2.4795909e-03  1.5832484e-06 -1.9073777e-04
  1.0465782e+00  5.2204931e-01  6.1551082e-01  9.5368887e-04
 -9.5368887e-04  8.2589686e-06  4.8986648e-04 -1.9450361e-04
  5.9253030e-04  0.0000000e+00 -0.0000000e+00]",0.58,29,0,29,0
